Calendar Year,County,Number of Retail Locations,Non-Ethanol Gas Sales (in gallons),Ethanol Gas Sales (in gallons),Clear and Dyed Diesel Sales (in gallons),Biodiesel Sales (in gallons),Biofuel Distribution Percentage
2015,Page,11,686165,5620109,1545383,714998,9.98
2015,Palo Alto,12,428242,4138871,3832152,127315,10.71
2015,Plymouth,20,2272328,9612838,15247465,1099249,8.72
2015,Pocahontas,9,311744,2788507,6892881,16506,9.25
2015,Polk,184,37875255,179477319,34445509,43595531,11.51
2015,Pottawattamie,71,7140785,58585756,25063883,42644651,17.31
2015,Poweshiek,20,2132103,15110332,9561529,24182555,27.22
2015,Ringgold,5,127911,847834,372387,199962,12.6
2015,Sac,17,581426,4896801,1974180,188350,11.23
2015,Scott,82,5051235,75429524,11569714,36145854,15.11
2015,Shelby,14,505119,3982237,4455148,499687,10.18
2015,Sioux,35,3222774,11962246,17949303,681625,9.13
2015,Story,43,5556986,34314771,3609958,2879572,10.04
2015,Tama,17,761037,6050426,2974445,22039,9.05
2015,Taylor,8,182643,2078039,898347,0,9.84
2015,Union,12,717107,5462239,1248538,322052,9.8
2015,Van Buren,8,266087,2255603,1337827,246504,9.69
2015,Wapello,25,2063601,14509982,1754772,3518839,11.28
2015,Warren,28,2861203,23765762,1830807,1366201,9.93
2015,Washington,25,1539886,11143584,4926378,8198409,16.47
2015,Wayne,9,220610,2330464,1164503,580602,10.37
2015,Webster,36,1913719,16940095,4946739,198118,9.58
2015,Winnebago,20,691254,4949791,3569116,431951,10.68
2015,Winneshiek,16,1527291,7665624,5804970,128401,8.76
2015,Woodbury,52,7816509,39952209,10619035,15841847,12.97
2015,Worth,9,421048,5045846,415754,373829,10.3
2015,Wright,18,824964,4877698,2181604,23822,8.88
2014,ADAIR,11,1498410,7153133,1321561,432515,10.24
2014,ALLAMAKEE,16,1322461,6096143,1007143,581356,8.68
2014,APPANOOSE,14,389801,4504969,1471576,396831,9.79
2014,AUDUBON,7,211272,2251831,1804137,477334,10.15
2014,BENTON,17,1096102,7993274,2399618,125858,9
2014,BLACK HAWK,62,9074884,46272539,6649975,17284847,11.84
2014,BOONE,14,1193860,9107604,1900618,333389,9.07
2014,BREMER,13,2262557,9093542,2283837,38062,7.02
2014,BUCHANAN,18,1368303,7718064,2414267,172974,8.59
2014,BUENA VISTA,26,1179545,10265077,6308029,0,9.73
2014,BUTLER,13,749377,4405617,486123,1169292,9.12
2014,CALHOUN,15,384323,3969251,2535128,0,9.79
2014,CARROLL,29,1764296,9192933,9614854,328098,9.41
2014,CASS,17,913270,7872401,4423588,209332,9.52
2014,CEDAR,18,1528116,8791090,4362994,12898052,20.13
2014,CERRO GORDO,28,4347752,22000207,1808321,16496314,15.68
2014,CHEROKEE,14,655089,4490381,2316384,352231,9.96
2014,CHICKASAW,12,1331510,5668456,3056476,2088216,11.14
2014,CLARKE,9,1108077,5968259,1062938,8384848,20.7
2014,CLAY,23,1263809,6318132,4404199,63526,9.38
2014,CLAYTON,24,1447824,7777262,1630326,260101,8.65
2014,CLINTON,30,2318379,20213142,8300150,713020,9.67
2014,CRAWFORD,15,1359812,6862022,6583810,15848,9.55
2014,DALLAS,31,5953085,32110286,3990590,3701973,9.6
2014,DECATUR,7,652485,2774250,807698,173042,9.77
2014,DELAWARE,15,923804,7284529,2291045,1073247,10.08
2014,DES MOINES,20,3122262,13370454,1921214,0,7.99
2014,DICKINSON,24,2236414,7790336,2352997,73936,8.55
2014,DUBUQUE,66,15161915,83300705,13574401,20460061,9.78
2014,EMMET,9,540794,3833687,1192329,1153940,10.88
2014,FAYETTE,20,1534546,7215758,17445237,79941,8.74
2014,FLOYD,15,1258966,5865627,3948103,210968,9
2014,FRANKLIN,14,601746,5164500,2741387,1316656,10.59
2014,FREMONT,9,1538424,6407869,5598653,10905457,23.97
2014,GREENE,11,516582,3794825,1410312,76196,9.49
2014,GRUNDY,12,722462,5755981,3610481,2077390,10.72
2014,GUTHRIE,11,409181,4562162,1058652,8723861,23.99
2014,HAMILTON,8,880191,5065447,502665,3017805,12.67
2014,HANCOCK,11,636572,3391038,4008132,51677,9.4
2014,HARDIN,19,906990,6758064,1875581,755987,9.33
2014,HARRISON,17,700365,6895501,3737596,9569,9.79
2014,HENRY,18,1104543,10983244,1119923,1786031,11.28
2014,HOWARD,10,529036,3701477,2328286,545491,9.57
2014,HUMBOLDT,15,650408,4140377,5182877,199081,9.68
2014,IDA,11,753721,2671331,2296151,24700,9.78
2014,IOWA,17,1685810,8245502,3638767,703936,9.1
2014,JACKSON,20,1155313,7537085,4804413,47965,9.15
2014,JASPER,25,2090382,16161763,4937367,14474553,21.43
2014,JEFFERSON,17,965426,5366263,1340769,872770,10.97
2014,JOHNSON,59,7256034,42120533,5491589,5996647,10
2014,JONES,13,1015306,7613913,2451459,625510,9.19
2014,KEOKUK,12,479984,4074623,1490958,1244936,12.27
2014,KOSSUTH,19,831912,7348765,9969709,623538,10.34
2014,LEE,25,2211605,14172050,4983207,750052,8.91
2014,LINN,87,12034833,82057462,10082793,5465565,9.99
2014,LOUISA,8,498196,3927182,907161,1500,9.59
2014,LUCAS,7,386742,2792741,0,2954842,14.02
2014,LYON,14,1057317,5736378,2973901,28161,9.08
2014,MADISON,11,1085956,7451061,6963751,937871,10.29
2014,MAHASKA,17,881781,9360011,4103878,1674268,10.87
2014,MARION,23,1286777,13030314,3883494,45098,9.5
2014,MARSHALL,23,2339616,11938211,0,1433929,8.85
2014,MILLS,10,545640,5153586,2747781,176714,9.3
2014,MITCHELL,10,641835,3402518,296170,196725,10.22
2014,MONONA,11,1461969,5194939,3866940,1443066,11.41
2014,MONROE,6,345779,3196583,251083,0,9.02
2014,MONTGOMERY,7,528213,3031375,915801,0,8.69
2014,MUSCATINE,22,2474144,13732211,3020067,557706,9.63
2014,OBRIEN,19,988379,6017423,2936478,162858,9.61
2014,OSCEOLA,7,225202,2320250,2684273,33491,10.04
2014,PAGE,9,569651,5687711,654355,528614,9.82
2014,PALO ALTO,11,402304,4138723,3102539,0,10.23
2014,PLYMOUTH,23,2227743,8906007,5019694,23614,7.99
2014,POCAHONTAS,9,314398,2497266,6045005,13897,8.91
2014,POLK,185,38839714,172243978,24225407,65283768,11.83
2014,POTTAWATTAMIE,62,6198152,54070245,9297117,24749878,13.64
2014,POWESHIEK,17,1644167,9920533,7021709,15801977,23.35
2014,RINGGOLD,6,170993,1316181,1542837,78906,9.55
2014,SAC,17,605237,4680871,2365506,0,8.86
2014,SCOTT,80,5103629,84949581,8392065,53031793,16.22
2014,SHELBY,13,589550,4234769,3525076,1156654,10.77
2014,SIOUX,32,2654555,10144522,10908799,728436,8.45
2014,STORY,43,5690612,33401636,4200299,2914491,9.83
2014,TAMA,15,748602,7646450,2162486,29993,9.22
2014,TAYLOR,7,117813,2060240,652525,0,10.23
2014,UNION,11,655840,4912306,994580,387661,9.65
2014,VAN BUREN,8,263791,2310183,750257,83592,9.14
2014,WAPELLO,27,2091158,15126339,-801913,3887157,11.3
2014,WARREN,25,2619897,19196877,1536120,1006207,9.97
2014,WASHINGTON,25,1652781,12043839,5139207,8512326,15.95
2014,WAYNE,7,228303,1934472,338587,577248,10.28
2014,WEBSTER,28,1571849,15399044,4276273,105092,9.64
2014,WINNEBAGO,18,687690,4729297,2339227,102902,10.23
2014,WINNESHIEK,17,1608062,7442880,3358248,4233,7.22
2014,WOODBURY,50,8154512,37682679,12717794,15493480,12.73
2014,WORTH,10,1994348,3254648,501566,457575,6.87
2014,WRIGHT,20,855439,5093199,3686045,100681,8.91
2014,OTHER,6,414135,2859966,403002,0,
2013,ADAIR,12,1591221,6893421,4153996,429577,9.85
2013,ALLAMAKEE,19,1532728,6239247,1829744,639669,11.64
2013,APPANOOSE,15,748360,4617147,1386849,401997,8.44
2013,AUDUBON,8,295098,2211311,1086490,1169712,9.01
2013,BENTON,22,2612191,8888471,3620650,1401110,11.15
2013,BLACK HAWK,68,9951778,46035760,7339163,17481975,8.5
2013,BOONE,14,1270992,8692158,2588025,383616,11.1
2013,BREMER,14,2200692,9229073,2768021,44154,9.01
2013,BUCHANAN,18,1553953,6846580,1762984,1290416,8.09
2013,BUENA VISTA,22,1090070,8321688,5262762,0,8.5
